FIELD,index,SPLUS_F378,SPLUS_F395,SPLUS_F410,SPLUS_F430,SPLUS_F515,SPLUS_F660,SPLUS_F861,SPLUS_G,SPLUS_I,SPLUS_R,SPLUS_U,SPLUS_Z
"SPLUS-n07s44",162,19.932,19.823,20.846,20.916,21.238,20.98,21.586,23.27,23.304,23.438,20.669,22.721
"SPLUS-n08s01",163,19.998,19.97,20.995,21.104,21.411,21.089,21.636,23.463,23.345,23.545,20.7,22.748
"SPLUS-n08s02",164,20.137,20.05,21.095,21.19,21.468,21.093,21.62,23.517,23.346,23.569,20.892,22.766
"SPLUS-n08s03",165,20.094,20.034,21.028,21.09,21.387,21.08,21.64,23.427,23.351,23.532,20.628,22.747
"SPLUS-n08s37",166,20.131,20.048,21.07,21.171,21.483,21.122,21.676,23.534,23.412,23.587,20.916,22.836
"SPLUS-n08s38",167,19.664,19.542,20.589,20.677,21.006,20.709,21.113,23.074,22.988,23.152,20.446,22.45
"SPLUS-n08s39",168,20.153,20.032,21.096,21.179,21.501,21.12,21.66,23.546,23.398,23.595,20.924,22.828
"SPLUS-n08s40",169,20.057,19.971,21.022,21.13,21.482,21.119,21.675,23.506,23.4,23.589,20.813,22.845
"SPLUS-n08s41",170,19.988,19.895,20.94,21.053,21.404,21.032,21.666,23.418,23.312,23.51,20.728,22.711
"SPLUS-n08s42",171,20.153,20.046,21.081,21.195,21.507,21.101,21.648,23.538,23.373,23.585,20.936,22.787
"SPLUS-n09s01",172,20.041,19.991,20.982,21.077,21.409,21.071,21.64,23.439,23.352,23.531,20.748,22.764
"SPLUS-n09s36",173,20.111,19.999,21.057,21.149,21.477,21.117,21.667,23.511,23.402,23.597,20.853,22.835
"SPLUS-n09s37",174,20.126,20.083,21.103,21.206,21.514,21.145,21.689,23.568,23.434,23.613,20.906,22.893
"SPLUS-n09s38",175,20.125,20.048,21.1,21.191,21.492,21.09,21.598,23.508,23.362,23.578,20.908,22.808
"SPLUS-n09s39",176,20.145,20.069,21.1,21.213,21.51,21.127,21.669,23.571,23.399,23.595,20.936,22.828
"SPLUS-n09s40",177,20.158,20.06,21.098,21.201,21.517,21.129,21.671,23.543,23.408,23.61,20.931,22.844
"SPLUS-n09s41",178,20.133,20.057,21.083,21.187,21.467,21.087,21.64,23.505,23.362,23.566,20.905,22.778
"SPLUS-n09s42",179,20.107,20.017,21.065,21.158,21.469,21.089,21.633,23.499,23.343,23.559,20.887,22.748
"SPLUS-n09s43",180,20.125,20.035,21.122,21.238,21.511,21.08,21.609,23.555,23.327,23.554,20.919,22.723
"SPLUS-n09s44",181,20.148,20.086,21.166,21.296,21.584,21.139,21.685,23.625,23.416,23.616,20.922,22.832
"SPLUS-n10s01",182,20.032,19.95,20.962,21.053,21.393,21.055,21.63,23.417,23.331,23.512,20.736,22.741
"SPLUS-n10s17",183,20.017,19.955,20.996,21.094,21.415,21.08,21.645,23.454,23.359,23.548,20.755,22.77
"SPLUS-n10s34",184,20.164,20.067,21.131,21.202,21.529,21.126,21.673,23.57,23.405,23.607,20.898,22.865
"SPLUS-n10s35",185,20.142,20.032,21.088,21.185,21.504,21.127,21.666,23.544,23.405,23.603,20.919,22.852
"SPLUS-n10s36",186,19.996,20.018,21.081,21.192,21.507,21.112,21.532,23.563,23.387,23.584,20.863,22.805
"SPLUS-n10s37",187,20.005,19.928,20.998,21.122,21.461,21.066,21.582,23.505,23.357,23.557,20.771,22.757
"SPLUS-n10s38",188,20.161,20.102,21.118,21.226,21.528,21.142,21.686,23.575,23.411,23.612,20.927,22.843
"SPLUS-n10s39",189,20.032,19.963,20.993,21.094,21.414,21.058,21.626,23.455,23.342,23.528,20.794,22.758
"SPLUS-n10s40",190,20.174,20.106,21.139,21.242,21.516,21.111,21.649,23.58,23.372,23.585,20.96,22.79
"SPLUS-n10s41",191,20.035,19.931,20.972,21.024,21.33,21.039,21.621,23.372,23.325,23.496,20.788,22.735
"SPLUS-n10s42",192,20.244,20.152,21.219,21.332,21.613,21.165,21.678,23.67,23.421,23.637,21.021,22.843
"SPLUS-n10s43",193,20.241,20.144,21.22,21.35,21.605,21.133,21.652,23.662,23.393,23.619,20.999,22.82
"SPLUS-n11s01",194,19.918,19.824,20.835,20.921,21.266,21.017,21.603,23.284,23.295,23.458,20.639,22.686
"SPLUS-n11s02",195,19.756,19.715,20.699,20.785,21.138,20.918,21.538,23.172,23.214,23.334,20.49,22.624
"SPLUS-n11s03",196,20.116,20.068,21.098,21.207,21.476,21.09,21.62,23.53,23.342,23.565,20.847,22.745
"SPLUS-n11s26",197,20.153,20.055,21.109,21.21,21.518,21.14,21.672,23.546,23.397,23.601,20.888,22.84
"SPLUS-n11s28",198,20.082,20.055,21.069,21.164,21.461,21.079,21.636,23.506,23.353,23.545,20.834,22.76
"SPLUS-n11s29",199,20.193,20.095,21.127,21.235,21.541,21.133,21.674,23.57,23.404,23.608,20.957,22.84
"SPLUS-n11s30",200,20.159,20.115,21.124,21.237,21.529,21.138,21.684,23.579,23.412,23.614,20.871,22.832
"SPLUS-n11s33",201,20.139,20.025,21.066,21.142,21.476,21.131,21.672,23.515,23.406,23.606,20.922,22.824
"SPLUS-n11s34",202,20.13,20.038,21.083,21.174,21.488,21.117,21.667,23.531,23.392,23.59,20.926,22.824
"SPLUS-n11s35",203,20.135,20.035,21.066,21.152,21.49,21.132,21.689,23.526,23.429,23.608,20.929,22.873
"SPLUS-n11s37",204,20.18,20.108,21.155,21.25,21.545,21.159,21.691,23.575,23.393,23.604,20.946,22.856
"SPLUS-n11s38",205,20.099,19.997,21.034,21.115,21.427,21.1,21.657,23.457,23.369,23.564,20.864,22.797
"SPLUS-n11s39",206,20.059,19.998,21.03,21.132,21.477,21.103,21.684,23.507,23.39,23.575,20.82,22.817
"SPLUS-n11s40",207,20.225,20.118,21.203,21.321,21.567,21.11,21.637,23.626,23.375,23.579,21.023,22.811
"SPLUS-n11s41",208,20.238,20.141,21.236,21.35,21.62,21.154,21.666,23.661,23.407,23.632,21.009,22.832
"SPLUS-n11s42",209,20.256,20.147,21.246,21.366,21.621,21.162,21.686,23.674,23.424,23.642,21.027,22.864
"SPLUS-n11s43",210,20.249,20.155,21.235,21.354,21.631,21.164,21.691,23.678,23.427,23.648,21.04,22.836
"SPLUS-n11s44",211,20.26,20.174,21.262,21.376,21.617,21.146,21.68,23.68,23.419,23.639,21.022,22.866
"SPLUS-n12s01",212,19.82,19.753,20.781,20.839,21.182,20.919,21.55,23.2,23.24,23.367,20.56,22.673
"SPLUS-n12s02",213,19.958,19.909,20.913,21.008,21.358,21.041,21.61,23.382,23.313,23.489,20.707,22.717
"SPLUS-n12s05",214,20.035,20.003,20.972,21.065,21.388,21.067,21.629,23.424,23.351,23.522,20.782,22.769
"SPLUS-n12s23",215,20.145,20.067,21.102,21.18,21.499,21.124,21.668,23.541,23.385,23.594,20.926,22.806
"SPLUS-n12s24",216,20.121,20.031,21.063,21.153,21.494,21.109,21.66,23.524,23.382,23.583,20.913,22.789
"SPLUS-n12s25",217,20.172,19.984,21.116,21.206,21.518,21.143,21.683,23.56,23.411,23.622,20.941,22.846
"SPLUS-n12s26",218,20.177,20.12,21.139,21.241,21.527,21.144,21.689,23.585,23.422,23.617,20.961,22.859
"SPLUS-n12s27",219,20.07,20.048,21.065,21.179,21.459,21.087,21.653,23.502,23.372,23.554,20.833,22.795
"SPLUS-n12s28",220,19.944,19.895,20.905,21.029,21.395,21.124,21.664,23.41,23.321,23.508,20.701,22.724
"SPLUS-n12s29",221,20.148,20.072,21.113,21.212,21.488,21.109,21.654,23.547,23.373,23.581,20.908,22.791
"SPLUS-n12s30",222,20.094,20.02,21.064,21.166,21.474,21.09,21.64,23.519,23.361,23.569,20.85,22.757
"SPLUS-n12s31",223,20.268,20.162,21.258,21.369,21.613,21.152,21.655,23.677,23.411,23.637,21.028,22.846
"SPLUS-n12s32",224,20.246,20.156,21.238,21.346,21.619,21.163,21.692,23.666,23.423,23.641,21.035,22.846
"SPLUS-n12s33",225,20.264,20.153,21.247,21.367,21.613,21.149,21.661,23.675,23.393,23.624,21.042,22.822
"SPLUS-n12s34",226,20.127,20.054,21.135,21.245,21.525,21.072,21.613,23.562,23.333,23.548,20.856,22.729
"SPLUS-n12s35",227,20.113,20.061,21.041,21.031,21.495,21.033,21.601,23.55,23.292,23.571,20.89,22.725
"SPLUS-n12s36",228,20.209,20.113,21.217,21.332,21.588,21.115,21.497,23.642,23.38,23.601,20.995,22.825
"SPLUS-n12s37",229,20.201,20.113,21.152,21.247,21.535,21.144,21.675,23.588,23.405,23.617,20.958,22.814
"SPLUS-n12s38",230,20.188,20.116,21.139,21.24,21.527,21.135,21.68,23.571,23.403,23.61,20.931,22.827
"SPLUS-n12s39",231,20.107,20.031,21.063,21.168,21.486,21.096,21.646,23.51,23.369,23.573,20.841,22.777
"SPLUS-n12s40",232,20.208,20.169,21.218,21.333,21.578,21.115,21.636,23.623,23.377,23.596,20.959,22.791
"SPLUS-n12s41",233,20.279,20.169,21.261,21.383,21.629,21.17,21.678,23.69,23.428,23.653,21.03,22.872
"SPLUS-n12s42",234,20.2,20.137,21.203,21.323,21.583,21.118,21.638,23.625,23.36,23.586,20.936,22.772
"SPLUS-n13s01",235,19.921,20.01,21.029,21.11,21.444,21.098,21.636,23.485,23.354,23.56,20.839,22.635
"SPLUS-n13s02",236,19.988,19.893,20.915,20.971,21.322,21.043,21.601,23.343,23.308,23.478,20.703,22.699
"SPLUS-n13s03",237,20.032,19.984,20.979,21.061,21.391,21.071,21.634,23.434,23.347,23.533,20.767,22.766
"SPLUS-n13s04",238,20.006,19.954,20.94,21.023,21.348,21.058,21.639,23.394,23.343,23.513,20.725,22.786
"SPLUS-n13s05",239,19.872,19.825,20.805,20.891,21.253,20.981,21.574,23.284,23.253,23.419,20.58,22.65
"SPLUS-n13s06",240,19.755,19.689,20.667,20.701,21.085,20.902,21.54,23.099,23.216,23.324,20.49,22.633
"SPLUS-n13s07",241,19.87,19.828,20.816,20.888,21.248,20.985,21.581,23.279,23.272,23.426,20.58,22.679
"SPLUS-n14s01",242,20.079,20.044,21.064,21.168,21.475,21.115,21.646,23.516,23.358,23.569,20.825,22.758
"SPLUS-n14s02",243,20.159,20.079,21.132,21.235,21.538,21.138,21.653,23.572,23.377,23.599,20.933,22.785
"SPLUS-n14s03",244,20.125,20.015,21.062,21.156,21.513,21.119,21.67,23.561,23.388,23.591,20.886,22.807
"SPLUS-n14s04",245,20.075,19.994,20.992,21.069,21.406,21.088,21.626,23.444,23.35,23.546,20.805,22.768
"SPLUS-n14s05",246,19.991,19.972,20.952,21.023,21.374,21.054,21.614,23.406,23.329,23.513,20.72,22.714
"SPLUS-n14s06",247,20.062,20.0,21.004,21.089,21.415,21.095,21.643,23.458,23.358,23.55,20.811,22.762
"SPLUS-n14s07",248,20.065,19.98,21.002,21.076,21.422,21.099,21.642,23.461,23.369,23.559,20.815,22.775
"SPLUS-n14s08",249,19.808,19.693,20.673,20.687,21.043,20.864,21.528,23.067,23.216,23.313,20.603,22.655
"SPLUS-n14s09",250,19.972,19.895,20.892,20.962,21.301,21.003,21.599,23.335,23.308,23.448,20.71,22.737
"SPLUS-n14s10",251,19.929,19.88,20.879,20.964,21.316,21.016,21.592,23.348,23.279,23.467,20.661,22.66
"SPLUS-n14s12",252,19.932,19.871,20.851,20.925,21.277,20.997,21.588,23.309,23.288,23.446,20.692,22.7
"SPLUS-n14s14",253,20.069,19.979,20.989,21.081,21.416,21.075,21.632,23.454,23.347,23.538,20.813,22.761
"SPLUS-n14s15",254,20.04,19.948,20.954,21.031,21.371,21.052,21.629,23.407,23.341,23.509,20.816,22.751
"SPLUS-n14s19",255,20.169,20.051,21.095,21.179,21.468,21.091,21.617,23.522,23.335,23.567,20.891,22.733
"SPLUS-n14s22",256,20.168,20.07,21.134,21.207,21.522,21.128,21.668,23.567,23.408,23.606,20.953,22.854
"SPLUS-n15s01",257,20.137,20.066,21.114,21.212,21.502,21.106,21.632,23.559,23.364,23.588,20.897,22.785
"SPLUS-n15s02",258,20.137,20.058,21.122,21.209,21.519,21.112,21.641,23.546,23.375,23.581,20.945,22.774
"SPLUS-n15s03",259,20.054,19.99,20.994,21.063,21.399,21.082,21.624,23.437,23.359,23.539,20.814,22.781
"SPLUS-n15s04",260,20.154,20.063,21.124,21.238,21.538,21.137,21.663,23.589,23.394,23.581,20.971,22.813
"SPLUS-n15s05",261,20.172,20.12,21.133,21.237,21.512,21.131,21.66,23.577,23.398,23.61,20.935,22.825
"SPLUS-n15s06",262,20.144,20.071,21.113,21.2,21.524,21.129,21.668,23.573,23.397,23.612,20.95,22.822
"SPLUS-n15s07",263,20.167,20.09,21.126,21.226,21.53,21.132,21.671,23.572,23.411,23.614,20.957,22.861
"SPLUS-n15s08",264,20.06,19.995,21.028,21.114,21.483,21.111,21.67,23.52,23.382,23.589,20.85,22.807
"SPLUS-n15s09",265,20.098,20.001,21.04,21.146,21.48,21.112,21.678,23.514,23.399,23.588,20.898,22.835
"SPLUS-n15s10",266,20.083,19.988,21.062,21.128,21.474,21.085,21.672,23.459,23.407,23.469,20.882,22.865
"SPLUS-n15s11",267,20.041,19.96,21.009,21.11,21.441,21.03,21.531,23.486,23.325,23.505,20.88,22.786
"SPLUS-n15s12",268,20.17,20.067,21.126,21.229,21.547,21.134,21.691,23.577,23.405,23.618,20.962,22.858
"SPLUS-n15s13",269,20.112,20.016,21.061,21.153,21.481,21.109,21.658,23.528,23.393,23.594,20.888,22.8
"SPLUS-n15s14",270,20.099,20.021,21.078,21.193,21.509,21.129,21.664,23.55,23.37,23.597,20.898,22.757
"SPLUS-n15s15",271,20.134,20.049,21.103,21.204,21.523,21.141,21.688,23.558,23.424,23.622,20.921,22.888
"SPLUS-n15s16",272,20.136,20.088,21.081,21.17,21.467,21.111,21.673,23.515,23.409,23.575,20.914,22.872
"SPLUS-n15s17",273,20.15,20.067,21.097,21.198,21.529,21.134,21.675,23.564,23.399,23.606,20.968,22.826
"SPLUS-n15s18",274,20.165,20.077,21.122,21.222,21.516,21.063,21.512,23.548,23.37,23.582,20.946,22.796
"SPLUS-n15s19",275,20.19,20.083,21.143,21.231,21.548,21.143,21.674,23.584,23.405,23.617,20.97,22.83
"SPLUS-n15s20",276,20.162,20.055,21.116,21.219,21.53,21.11,21.645,23.571,23.399,23.605,20.939,22.806
"SPLUS-n15s21",277,20.141,20.05,21.095,21.19,21.515,21.127,21.677,23.562,23.393,23.608,20.933,22.826
"SPLUS-n15s22",278,20.161,20.099,21.134,21.223,21.505,21.106,21.64,23.542,23.367,23.577,20.938,22.771
"SPLUS-n16s01",279,20.148,20.042,21.105,21.199,21.529,21.139,21.67,23.576,23.401,23.612,20.969,22.825
"SPLUS-n16s02",280,20.123,20.08,21.117,21.213,21.514,21.146,21.669,23.571,23.393,23.609,20.881,22.803
"SPLUS-n16s03",281,20.161,20.106,21.126,21.215,21.514,21.122,21.654,23.555,23.393,23.603,20.952,22.815
"SPLUS-n16s04",282,20.157,20.074,21.15,21.226,21.537,21.168,21.692,23.568,23.427,23.631,20.948,22.873
"SPLUS-n16s05",283,20.175,20.119,21.143,21.249,21.523,21.113,21.649,23.563,23.375,23.592,20.953,22.788
"SPLUS-n16s06",284,20.153,20.071,21.116,21.202,21.521,21.119,21.644,23.565,23.376,23.595,20.926,22.792
"SPLUS-n16s07",285,20.17,20.095,21.154,21.234,21.549,21.157,21.686,23.583,23.417,23.63,20.953,22.839
"SPLUS-n16s08",286,20.076,19.971,21.016,21.092,21.418,21.096,21.648,23.469,23.368,23.559,20.864,22.787
"SPLUS-n16s09",287,20.171,20.102,21.126,21.212,21.525,21.156,21.679,23.576,23.411,23.621,20.922,22.835
"SPLUS-n16s10",288,20.165,20.102,21.122,21.217,21.53,21.144,21.696,23.578,23.415,23.625,20.939,22.845
"SPLUS-n16s11",289,20.188,20.11,21.14,21.239,21.542,21.165,21.691,23.589,23.426,23.624,20.969,22.856
"SPLUS-n16s12",290,20.151,20.063,21.105,21.197,21.511,21.128,21.665,23.552,23.394,23.602,20.921,22.816
"SPLUS-n16s13",291,20.183,20.113,21.155,21.251,21.552,21.148,21.688,23.583,23.415,23.628,20.961,22.85
"SPLUS-n16s14",292,20.119,20.078,21.1,21.195,21.519,21.144,21.692,23.561,23.42,23.618,20.856,22.844
"SPLUS-n16s15",293,20.166,20.103,21.119,21.228,21.526,21.152,21.67,23.577,23.401,23.616,20.904,22.831
"SPLUS-n16s16",294,20.061,20.007,21.029,21.135,21.472,21.1,21.664,23.525,23.383,23.572,20.843,22.808
"SPLUS-n16s17",295,20.171,20.121,21.133,21.219,21.527,21.138,21.684,23.556,23.418,23.619,20.934,22.861
"SPLUS-n16s18",296,20.178,20.09,21.125,21.222,21.537,21.146,21.689,23.575,23.416,23.623,20.924,22.848
"SPLUS-n16s19",297,20.107,19.989,21.023,21.1,21.419,21.089,21.648,23.458,23.367,23.553,20.87,22.779
"SPLUS-n16s20",298,20.157,20.08,21.132,21.216,21.531,21.135,21.675,23.57,23.4,23.61,20.953,22.828
"SPLUS-n16s21",299,20.205,20.106,21.209,21.336,21.608,21.172,21.692,23.654,23.411,23.618,20.96,22.823
"SPLUS-n17s01",300,20.045,19.995,21.039,21.141,21.454,21.093,21.625,23.497,23.327,23.556,20.787,22.693
"SPLUS-n17s02",301,19.918,19.839,20.865,20.94,21.245,20.993,21.584,23.297,23.272,23.444,20.694,22.654
"SPLUS-n17s03",302,19.806,19.721,20.75,20.824,21.133,20.895,21.527,23.167,23.213,23.337,20.583,22.623
"SPLUS-n17s04",303,20.138,20.065,21.076,21.157,21.464,21.116,21.652,23.508,23.4,23.582,20.919,22.798
"SPLUS-n17s05",304,20.133,20.105,21.123,21.217,21.512,21.157,21.642,23.563,23.37,23.593,20.902,22.773
"SPLUS-n17s06",305,20.134,20.062,21.104,21.185,21.467,21.114,21.628,23.52,23.344,23.565,20.889,22.737
"SPLUS-n17s07",306,20.123,20.065,21.105,21.206,21.497,21.117,21.626,23.551,23.349,23.598,20.891,22.736
"SPLUS-n17s08",307,20.082,20.019,21.046,21.143,21.454,21.062,21.601,23.483,23.315,23.535,20.844,22.699
"SPLUS-n17s09",308,20.157,20.115,21.118,21.204,21.462,21.093,21.629,23.519,23.352,23.564,20.957,22.76
"SPLUS-n17s10",309,20.162,20.081,21.094,21.176,21.472,21.106,21.637,23.521,23.361,23.576,20.929,22.766
"SPLUS-n17s11",310,20.179,20.106,21.122,21.207,21.497,21.124,21.659,23.555,23.394,23.599,20.971,22.812
"SPLUS-n17s12",311,20.078,20.024,21.073,21.179,21.489,21.115,21.647,23.542,23.357,23.581,20.833,22.752
"SPLUS-n17s13",312,20.073,20.023,21.068,21.176,21.485,21.105,21.647,23.53,23.364,23.575,20.805,22.763
"SPLUS-n17s14",313,19.992,19.941,20.957,21.046,21.342,21.044,21.622,23.395,23.331,23.505,20.744,22.732
"SPLUS-n17s15",314,20.004,19.98,20.975,21.051,21.341,21.045,21.63,23.4,23.343,23.506,20.748,22.757
"SPLUS-n17s16",315,20.101,20.03,21.06,21.158,21.484,21.121,21.639,23.523,23.353,23.572,20.857,22.747
"SPLUS-n17s17",316,20.195,20.099,21.138,21.217,21.523,21.143,21.682,23.566,23.414,23.624,20.948,22.84
"SPLUS-n17s18",317,20.203,20.132,21.144,21.23,21.513,21.125,21.661,23.552,23.393,23.598,21.001,22.809
"SPLUS-n17s19",318,20.217,20.137,21.202,21.317,21.578,21.116,21.635,23.628,23.375,23.606,20.987,22.809
"SPLUS-n17s20",319,20.23,20.148,21.211,21.319,21.609,21.146,21.681,23.655,23.409,23.648,21.011,22.823
"SPLUS-n17s21",320,20.264,20.149,21.236,21.353,21.608,21.151,21.66,23.664,23.403,23.621,21.058,22.827
"SPLUS-n17s51",321,19.997,19.934,21.006,21.074,21.45,20.951,21.52,23.472,23.346,23.554,20.711,22.727
"SPLUS-n18s10",322,20.269,20.194,21.269,21.383,21.632,21.173,21.69,23.697,23.432,23.659,21.05,22.855
"SPLUS-n18s11",323,20.112,20.068,21.095,21.216,21.512,21.133,21.649,23.57,23.364,23.587,20.874,22.782
"SPLUS-n18s12",324,20.026,20.037,21.073,21.197,21.499,21.116,21.659,23.534,23.379,23.59,20.735,22.802
"SPLUS-n18s13",325,20.052,20.003,21.057,21.164,21.479,21.105,21.642,23.526,23.363,23.576,20.755,22.764
"SPLUS-n18s14",326,20.259,20.196,21.274,21.398,21.655,21.176,21.699,23.703,23.437,23.657,21.067,22.876
"SPLUS-n18s15",327,20.078,20.035,21.075,21.17,21.479,21.118,21.646,23.527,23.366,23.579,20.84,22.778
"SPLUS-n18s16",328,20.222,20.118,21.211,21.324,21.594,21.124,21.635,23.646,23.38,23.602,21.018,22.825
"SPLUS-n18s17",329,20.243,20.157,21.242,21.331,21.584,21.092,21.618,23.534,23.338,23.567,21.043,22.728
"SPLUS-n18s18",330,20.29,20.209,21.28,21.395,21.646,21.178,21.71,23.692,23.433,23.653,21.066,22.839
"SPLUS-n18s19",331,20.205,20.099,21.207,21.305,21.562,21.103,21.622,23.614,23.358,23.595,21.003,22.763
"SPLUS-n18s20",332,20.192,20.097,21.139,21.22,21.514,21.126,21.664,23.557,23.392,23.605,20.961,22.82
"SPLUS-n18s21",333,20.275,20.178,21.254,21.362,21.609,21.09,21.624,23.666,23.385,23.617,21.037,22.804
"SPLUS-n18s51",334,20.1,20.01,21.037,21.143,21.474,21.1,21.662,23.508,23.391,23.578,20.843,22.823
"SPLUS-n19s01",335,19.696,19.584,20.55,20.624,20.959,20.808,21.49,22.958,23.127,23.224,20.4,22.532
"SPLUS-n19s03",336,20.074,20.004,20.988,21.075,21.392,21.057,21.627,23.43,23.34,23.522,20.829,22.754
"SPLUS-n19s04",337,19.776,19.69,20.645,20.744,21.106,20.911,21.551,23.132,23.235,23.341,20.519,22.652
"SPLUS-n19s05",338,19.76,19.643,20.614,20.639,20.988,20.814,21.488,23.016,23.19,23.274,20.549,22.613
"SPLUS-n19s06",339,19.943,19.829,20.863,20.936,21.285,20.981,21.584,23.306,23.268,23.433,20.689,22.664
"SPLUS-n19s07",340,20.023,19.946,20.945,21.017,21.364,21.049,21.623,23.398,23.321,23.504,20.834,22.723
"SPLUS-n20s34",341,20.174,20.067,21.105,21.194,21.518,21.136,21.677,23.558,23.411,23.607,20.943,22.832
"SPLUS-n20s35",342,20.192,20.083,21.109,21.204,21.518,21.131,21.671,23.551,23.402,23.605,20.963,22.809
"SPLUS-n20s40",343,20.155,20.075,21.087,21.19,21.505,21.116,21.662,23.541,23.39,23.598,20.899,22.806
"STRIPE82-0001",344,20.193,20.16,21.164,21.286,21.551,21.167,21.71,23.614,23.437,23.624,20.981,22.873
"STRIPE82-0002",345,20.197,20.19,21.21,21.314,21.588,21.183,21.719,23.662,23.467,23.655,20.948,22.922
"STRIPE82-0003",346,19.472,19.508,20.61,20.743,20.862,20.349,20.884,22.969,22.643,22.851,20.205,22.122
"STRIPE82-0004",347,19.461,19.456,20.565,20.715,20.799,20.308,20.867,22.946,22.602,22.836,20.2,22.043
"STRIPE82-0005",348,19.462,19.478,20.577,20.716,20.864,20.352,20.877,22.977,22.616,22.847,20.207,22.039
"STRIPE82-0006",349,19.431,19.448,20.572,20.68,20.825,20.36,20.874,22.963,22.618,22.846,20.178,22.036
"STRIPE82-0007",350,19.44,19.469,20.557,20.699,20.843,20.342,20.868,22.958,22.613,22.834,20.189,22.04
"STRIPE82-0008",351,20.213,20.152,21.232,21.345,21.639,21.19,21.704,23.688,23.45,23.649,21.003,22.877
"STRIPE82-0009",352,19.492,19.502,20.592,20.736,20.858,20.354,20.873,22.97,22.616,22.839,20.197,22.044
"STRIPE82-0010",353,20.168,20.028,21.059,21.265,21.573,21.193,21.711,23.628,23.44,23.541,20.938,22.867
"STRIPE82-0011",354,20.072,20.086,21.122,21.25,21.549,21.157,21.695,23.612,23.422,23.613,20.788,22.818
"STRIPE82-0012",355,20.215,20.143,21.23,21.346,21.621,21.197,21.705,23.688,23.455,23.655,21.032,22.869
"STRIPE82-0013",356,19.469,19.525,20.6,20.728,20.859,20.344,20.886,22.974,22.624,22.839,20.192,22.066
"STRIPE82-0014",357,20.212,20.145,21.218,21.33,21.611,21.194,21.709,23.679,23.458,23.652,21.001,22.898
"STRIPE82-0015",358,19.472,19.479,20.587,20.75,20.879,20.359,20.875,22.98,22.62,22.844,20.208,22.046
"STRIPE82-0016",359,20.2,20.148,21.216,21.333,21.608,21.185,21.705,23.68,23.458,23.653,20.968,22.901
"STRIPE82-0017",360,20.11,20.068,21.126,21.248,21.555,21.15,21.669,23.619,23.396,23.621,20.813,22.809
"STRIPE82-0018",361,20.248,20.161,21.238,21.381,21.631,21.197,21.709,23.691,23.454,23.651,21.035,22.885
"STRIPE82-0019",362,19.495,19.512,20.6,20.736,20.869,20.358,20.884,22.972,22.623,22.853,20.212,22.037
"STRIPE82-0020",363,20.212,20.162,21.207,21.323,21.6,21.194,21.709,23.671,23.464,23.656,20.98,22.924
"STRIPE82-0021",364,19.48,19.493,20.59,20.742,20.86,20.35,20.876,22.969,22.613,22.839,20.189,22.05
"STRIPE82-0022",365,19.45,19.485,20.596,20.742,20.886,20.38,20.892,22.99,22.637,22.865,20.162,22.051
"STRIPE82-0023",366,19.476,19.504,20.592,20.73,20.86,20.35,20.875,22.969,22.622,22.843,20.192,22.074
"STRIPE82-0024",367,19.471,19.473,20.585,20.727,20.861,20.364,20.891,22.972,22.638,22.857,20.2,22.082
"STRIPE82-0025",368,20.164,20.009,21.162,21.377,21.634,21.198,21.712,23.712,23.459,23.662,21.028,22.886
"STRIPE82-0026",369,20.228,20.154,21.236,21.373,21.644,21.202,21.715,23.702,23.468,23.66,21.031,22.889
"STRIPE82-0027",370,19.461,19.523,20.598,20.736,20.866,20.351,20.88,22.979,22.622,22.843,20.193,22.062
"STRIPE82-0028",371,19.429,19.398,20.548,20.689,20.84,20.347,20.868,22.945,22.614,22.838,20.144,22.033
"STRIPE82-0029",372,20.255,20.193,21.238,21.353,21.633,21.199,21.711,23.703,23.459,23.664,21.041,22.889
"STRIPE82-0030",373,19.425,19.459,20.563,20.71,20.847,20.348,20.872,22.971,22.61,22.844,20.208,22.022
"STRIPE82-0031",374,19.498,19.528,20.615,20.77,20.884,20.379,20.896,22.991,22.638,22.86,20.234,22.075
"STRIPE82-0032",375,20.154,20.107,21.212,21.334,21.56,21.187,21.709,23.483,23.464,23.647,20.899,22.917
"STRIPE82-0033",376,19.506,19.519,20.606,20.768,20.884,20.372,20.901,22.995,22.636,22.859,20.206,22.068
"STRIPE82-0034",377,19.482,19.498,20.581,20.736,20.865,20.376,20.895,22.977,22.621,22.855,20.199,22.019
"STRIPE82-0035",378,19.482,19.491,21.174,21.276,21.544,21.161,21.687,22.98,22.65,22.86,20.211,22.132
"STRIPE82-0036",379,19.289,19.123,19.901,20.429,20.588,20.041,20.421,22.84,22.349,22.665,19.941,21.741
"STRIPE82-0037",380,19.491,19.549,20.604,20.752,20.873,20.356,20.887,22.976,22.622,22.844,20.208,22.086
"STRIPE82-0038",381,19.294,19.404,20.523,20.613,20.743,20.345,20.843,22.916,22.542,22.807,20.138,21.975
"STRIPE82-0039",382,19.48,19.541,20.607,20.768,20.881,20.367,20.895,22.982,22.629,22.86,20.212,22.053
"STRIPE82-0040",383,19.445,19.457,20.588,20.736,20.878,20.377,20.897,22.982,22.636,22.862,20.193,22.076
"STRIPE82-0041",384,20.114,20.135,21.15,21.304,21.56,21.173,21.703,23.633,23.441,23.631,20.817,22.848
"STRIPE82-0042",385,19.483,19.502,20.606,20.745,20.878,20.373,20.893,22.988,22.636,22.863,20.235,22.067
