NUMBER,MAG_APER,MAGERR_APER,MAG_AUTO,MAGERR_AUTO,MAG_PETRO,MAGERR_PETRO,X_IMAGE,Y_IMAGE,ALPHA_J2000,DELTA_J2000
2329,19.320663,0.019959845,19.080156,0.024662733,19.02596,0.027953377,6849.497,1977.6794,318.6915029849497,-1.2381848556343316
2330,21.664928,0.12554058,20.696589,0.145562,20.683702,0.22548097,7553.4946,1970.1472,318.58392957293944,-1.2393249419739505
2331,20.538824,0.0504366,20.431969,0.0773742,20.423231,0.09030101,1910.0392,1970.3826,319.4462678040354,-1.2392507668504427
2332,21.86048,0.15531051,21.530481,0.2124169,21.430553,0.23145312,1492.5913,1965.1737,319.5100502205106,-1.2400324853496154
2333,14.87661,0.0019693663,14.542937,0.0016837093,14.542937,0.0016837093,9883.516,2033.2169,318.2279154582582,-1.2296247284645192
2334,18.631214,0.013022506,18.347906,0.015260016,18.3262,0.015856443,8228.31,1989.2201,318.4808177951224,-1.2363971540166594
2335,18.254766,0.010323743,18.005043,0.011561185,17.987026,0.012189572,6212.7505,1988.7557,318.78880140154035,-1.2364985730041012
2336,19.144855,0.018311791,19.14756,0.018997058,19.14756,0.018997058,10259.815,1970.6722,318.17042147921967,-1.2391635338563327
2337,18.120077,0.009652981,17.880651,0.010604959,17.880651,0.010604959,4676.9575,1995.7716,319.023480464316,-1.2354260421386425
2338,21.780966,0.13981232,20.872927,0.15405661,21.00509,0.12193445,5723.173,1973.9883,318.86361202436206,-1.2387565316275326
2339,21.580118,0.11978967,20.835606,0.13691112,20.941832,0.10465559,2726.1226,1971.9221,319.32157378477314,-1.2390384794505365
2340,21.96997,0.16242862,21.857613,0.17338505,21.935684,0.38185674,5870.4673,1968.9996,318.8411044002207,-1.2395182238882643
2341,21.861217,0.14860463,21.576088,0.16081892,21.595984,0.18026574,8076.8237,1970.4894,318.50396446629077,-1.2392619990350533
2342,20.75747,0.05778892,20.55423,0.06868074,20.521053,0.08244277,6079.1323,1976.4326,318.80921908612083,-1.2383818699106603
2343,20.506454,0.04745095,20.264894,0.061194945,20.286798,0.060112122,3900.3728,1976.4331,319.14214661067626,-1.238371992941062
2344,20.838652,0.06397763,20.566462,0.0913096,20.519318,0.095407575,2471.203,1974.1202,319.3605248384432,-1.2386961662451559
2345,21.624767,0.12095564,21.220728,0.19813375,21.21262,0.19270058,3850.8984,1971.6943,319.1497065299365,-1.2390951824881251
2346,21.74902,0.14064112,21.686157,0.13792922,21.930012,0.34816402,1625.0741,1971.194,319.4898080727756,-1.2391174463202193
2347,22.174166,0.19473535,21.783329,0.22363946,21.985346,0.21325162,8087.3164,1969.0089,318.5023611484654,-1.2394879202694398
2348,22.211262,0.20324138,22.015799,0.2654937,22.000862,0.2639967,9907.837,1969.8746,318.2241980401013,-1.239299588430775
2349,20.484255,0.04807043,20.18668,0.06956843,20.097372,0.08001932,2589.0176,1981.4906,319.34252299802364,-1.237573353766662
2350,21.0337,0.07430884,20.96471,0.08827799,21.064697,0.16196102,2840.06,1976.6746,319.30416421540593,-1.2383152134783133
2351,18.126747,0.0097964,17.880102,0.0107785,17.857994,0.011334512,9034.31,1999.1909,318.3576644745865,-1.234851855581777
2352,15.703632,0.0029786287,15.392936,0.0026672273,15.392936,0.0026672273,2021.3998,2023.0204,319.4292517567032,-1.2312134039212153
2353,15.079397,0.0021996466,14.734197,0.0019038456,14.734197,0.0019038456,10507.77,2035.4573,318.13254048145717,-1.2292568942276323
2354,21.488968,0.10923897,20.467834,0.11725778,20.490067,0.20517884,8199.915,1986.0431,318.48515639000425,-1.2368831497852983
2355,21.831171,0.14460357,20.928196,0.15662175,20.570621,0.16477446,8475.489,1975.4684,318.4430491257117,-1.2384916711629423
2356,22.087746,0.18340333,21.658855,0.21769486,21.484095,0.2540534,3418.1558,1973.1353,319.21583086764286,-1.2388679490060082
2357,17.953293,0.008879689,17.691313,0.009688964,17.656797,0.010158051,7959.068,2003.9133,318.5219579344445,-1.2341587336471957
2358,19.338043,0.020623835,19.162172,0.025166154,19.145689,0.029496673,3154.4187,1984.1093,319.2561301447247,-1.2371864206608738
2359,20.732607,0.056894,20.57257,0.06765491,20.614767,0.102516405,6820.409,1981.6881,318.6959477535831,-1.2375728247911153
2360,22.007118,0.17065647,21.821844,0.18347351,22.008781,0.36382374,9095.985,1976.8293,318.3482404189471,-1.2382658167774898
2361,21.387514,0.09910868,21.167116,0.11236436,21.097012,0.14168453,7550.6904,1980.0194,318.58435817957053,-1.2378169003734747
2362,22.323586,0.22460431,22.047188,0.25403196,21.608398,0.24218756,9516.518,1974.9463,318.2839868833096,-1.2385393842273176
2363,19.81016,0.028210312,19.627209,0.034414247,19.57337,0.05177704,6062.2754,1986.0918,318.81179497886313,-1.2369063699089582
2364,21.233955,0.0888565,20.772058,0.12101534,20.843033,0.11311422,2363.519,1979.5695,319.3769784633831,-1.2378608339308081
2365,17.939638,0.009093428,17.66348,0.009895389,17.66348,0.009895389,2120.8416,2009.6079,319.41405791996476,-1.2332652576581766
2366,16.669325,0.0046404377,16.36761,0.004427987,16.36761,0.004427987,3430.398,2018.8335,319.213959795123,-1.2318872191133903
2367,19.886198,0.029595817,19.630842,0.037395366,19.572004,0.048051734,4195.435,1991.4376,319.0970596933424,-1.2360836224673861
2368,14.245161,0.0014574026,13.916197,0.0012306772,13.916197,0.0012306772,8264.15,2057.4954,318.475342357223,-1.2259665454959598
2369,20.335363,0.041400805,20.192497,0.050637655,20.1774,0.056057267,5878.619,1985.3323,318.83985878889166,-1.2370231520916888
2370,20.000801,0.032376055,19.706278,0.04232914,19.678995,0.05176368,4457.61,1990.6818,319.056998069123,-1.2362017898624909
2371,21.546875,0.114269726,21.4245,0.12670687,21.424606,0.18762526,3195.6255,1980.5839,319.24983375255204,-1.237725795092909
2372,22.693396,0.31606814,22.487291,0.20916511,22.72065,0.40861583,8349.36,1977.8187,318.46232136912846,-1.2381358601502688
2373,18.445438,0.011678845,18.215475,0.013115161,18.195711,0.01394923,9638.77,2000.771,318.26530861067516,-1.234590136122816
2374,20.99434,0.071048535,20.898928,0.10879437,20.853073,0.1135649,9075.422,1983.8202,318.3513824536261,-1.2371985725278194
2375,21.613895,0.12034299,21.386173,0.17380008,21.331232,0.14687805,7949.264,1985.1768,318.52345572819206,-1.2370211643209568
2376,21.447884,0.10322215,21.056263,0.13763039,21.211872,0.12927353,6853.43,1985.0183,318.6909020164601,-1.237063697236356
2377,21.2279,0.0888259,21.183847,0.120556906,21.143309,0.14375904,1602.6783,1982.2411,319.4932297184325,-1.2374291658346634
2378,17.088406,0.0058241286,16.799673,0.005831604,16.799673,0.005831604,1807.5077,2014.7,319.4619330319079,-1.232477687858967
2379,16.318745,0.0038566177,16.003809,0.0036435318,16.003809,0.0036435318,6766.873,2030.9854,318.7041286947486,-1.230042608626765
2380,22.060791,0.18405338,22.073969,0.190224,21.970472,0.2998781,1670.4888,1981.0372,319.4828689517497,-1.2376153780870691
2381,18.464218,0.011759222,18.115707,0.013452714,18.08222,0.014182488,6309.5054,2003.316,318.7740167837275,-1.234273633355742
2382,17.39996,0.006550172,17.140524,0.0067839604,17.140524,0.0067839604,6280.7446,2019.92,318.7784116047107,-1.231737346517185
2383,21.936083,0.15782379,21.893658,0.22715941,21.759365,0.26077634,4078.4736,1982.2363,319.1149320092457,-1.2374878366467368
2384,15.833097,0.0030366909,15.533432,0.002745075,15.533432,0.002745075,6137.9766,2030.0726,318.80022750831284,-1.2301872632307544
2385,22.441603,0.25003922,22.349722,0.2789558,22.384096,0.3170712,3850.8074,1980.6024,319.14972039534626,-1.237734373143878
2386,19.655645,0.025288783,19.424551,0.030796118,19.383957,0.03555987,3951.4646,1998.6537,319.13433942237526,-1.2349782213037601
2387,18.160736,0.010066381,17.880081,0.011095101,17.851805,0.011637042,9336.607,2008.0358,318.3114758912785,-1.23349097031802
2388,20.800678,0.06150633,19.897085,0.07738432,19.657312,0.0899224,9822.808,1996.2374,318.23718985457293,-1.2352758200597254
2389,20.83115,0.061657965,20.612703,0.08491074,20.581871,0.10345833,7483.944,1991.6165,318.5945573691442,-1.2360464930607646
2390,19.917177,0.030674234,19.672607,0.041035015,19.648941,0.043169197,9845.173,1993.8741,318.2337727491381,-1.2356359773381107
2391,20.899153,0.06760829,19.884212,0.07052811,19.918594,0.11233513,3077.5825,1996.286,319.2678705983773,-1.2353246575180306
2392,21.997997,0.16653809,21.546276,0.2180895,21.515491,0.23629366,5964.9326,1984.9916,318.82666956326557,-1.2370748864136185
