NUMBER,MAG_APER,MAGERR_APER,MAG_AUTO,MAGERR_AUTO,MAG_PETRO,MAGERR_PETRO,X_IMAGE,Y_IMAGE,ALPHA_J2000,DELTA_J2000
253,21.192787,0.08378939,21.109058,0.11125805,21.072021,0.13787481,6013.659,1198.7223,318.8192217886357,-1.3571859389224632
254,13.535089,0.0010640993,13.196267,8.7832107E-4,13.196267,8.7832107E-4,7681.3716,1296.931,318.56438248371256,-1.3421623395021713
255,21.114693,0.079573594,20.955946,0.119421296,20.848322,0.1434335,8936.439,1202.4102,318.372604688103,-1.3565669247050467
256,21.58141,0.11778681,21.498138,0.15830398,21.60163,0.21587496,8935.668,1197.2887,318.3727225018673,-1.3573492747643334
257,20.2536,0.039711278,20.00843,0.06016281,20.025587,0.057845205,8787.102,1205.9569,318.39542330113466,-1.356029991198307
258,20.214361,0.038593814,19.862041,0.052126825,19.79107,0.056849368,6063.8936,1206.69,318.8115455210451,-1.3559685747797672
259,21.064615,0.07549487,20.625422,0.09930598,20.616808,0.15514213,5997.496,1205.6451,318.82169171323187,-1.3561285074057299
260,22.316853,0.23329711,22.22046,0.22635081,22.125456,0.2620512,2247.1477,1196.1648,319.3947721932731,-1.3575268208626676
261,18.927708,0.015816923,18.694407,0.01906056,18.67332,0.021784686,8926.312,1217.5304,318.3741524655983,-1.354257625456501
262,21.106197,0.078049675,20.697344,0.120438054,20.678104,0.119580016,4612.7236,1202.0154,319.03329925626036,-1.356680371881867
263,21.269896,0.091464184,21.230824,0.100867525,21.198801,0.1647909,3080.624,1199.6428,319.26741546980975,-1.3570183536028537
264,19.079287,0.017881876,18.722374,0.021124916,18.693056,0.024278156,9932.889,1215.7837,318.2203538232388,-1.3544863475683473
265,21.407206,0.100992694,21.27732,0.14406213,21.297367,0.13596728,6448.662,1200.4987,318.7527490407528,-1.3569115226946107
266,22.156168,0.1957053,21.95024,0.26663968,21.58017,0.25017935,8899.71,1197.9536,318.3782168865625,-1.3572488904755458
267,18.840937,0.01514829,18.579384,0.017772986,18.548763,0.021040265,9243.204,1218.8779,318.3257325100735,-1.3540408499883818
268,21.535246,0.11309743,20.379566,0.12637873,20.158758,0.13606253,4049.3145,1203.6185,319.1193932913301,-1.356429126230395
269,21.135065,0.08120258,21.015425,0.09509591,21.01399,0.16608655,9201.502,1201.5079,318.3321040644241,-1.3566956312012703
270,22.26376,0.21407206,22.194775,0.18132983,22.322887,0.2685571,5733.866,1199.267,318.8619771206975,-1.3571037580477208
271,22.078953,0.18181281,21.706083,0.23855539,21.659214,0.23633991,3920.0273,1198.9966,319.1391494531408,-1.3571332681934267
272,20.728544,0.05744734,20.621893,0.077659644,20.48395,0.09295732,6600.145,1206.698,318.72960100479816,-1.3559630365259612
273,11.881604,8.5690134E-4,11.496251,6.333004E-4,11.496251,6.333004E-4,9834.083,1450.1401,318.23545546393206,-1.3186928702957905
274,22.090105,0.18392661,20.991827,0.13165283,21.818,0.16960569,5112.0522,1199.6646,318.9569968067915,-1.3570425562113997
275,16.582237,0.0055560423,16.18424,0.005764042,16.18424,0.005764042,3730.012,1262.7045,319.16818467043134,-1.3473984090892088
276,19.153324,0.01833608,18.904703,0.021457283,18.844343,0.025279213,8858.966,1218.5421,318.3844428072525,-1.354105293748404
277,21.552206,0.114096686,21.460035,0.17022488,21.339977,0.18246728,7727.603,1205.935,318.5573170381822,-1.3560615063497288
278,21.80554,0.14592312,21.663988,0.14881593,22.146461,0.41804573,3560.091,1205.7336,319.19415024391327,-1.3560980353139074
279,19.202698,0.020067617,17.008461,0.012728602,16.983868,0.019393776,4652.925,1283.0541,319.0271558220856,-1.344301415301494
280,16.186726,0.0036574819,15.89092,0.0033725996,15.89092,0.0033725996,6052.064,1249.4883,318.81335331475117,-1.349430845253431
281,19.040272,0.016899345,18.744982,0.020404946,18.748596,0.019912243,7147.0684,1224.1583,318.64602664805096,-1.3532886243190034
282,21.681047,0.12820567,21.384478,0.1705049,21.339996,0.16265754,7407.326,1206.401,318.6062572422209,-1.3559966974857605
283,17.225166,0.006159191,16.921663,0.00619034,16.921663,0.00619034,8225.056,1239.5962,318.4813047981683,-1.3509077616307852
284,20.260315,0.040747218,20.099455,0.050238803,20.085955,0.080072165,2524.3455,1215.0677,319.35241609248595,-1.354647665902825
285,20.943342,0.0699432,20.760582,0.08866977,20.748775,0.11125959,3190.007,1210.0559,319.2507011115081,-1.355430193706647
286,18.73059,0.014025225,18.468224,0.016797187,18.465412,0.017447563,3716.5447,1224.1213,319.1702429007199,-1.3532920029276676
287,21.296648,0.092233025,21.173697,0.10158491,21.124992,0.1264317,5049.392,1210.8678,318.9665718996811,-1.3553309228753654
288,21.546375,0.11486955,21.338137,0.12818918,21.37085,0.1360555,7521.391,1206.0209,318.58882740393096,-1.3560526202245993
289,19.15951,0.019016081,17.617058,0.013335761,17.578426,0.019372137,5368.361,1256.2316,318.91783017901076,-1.3484021259120622
290,21.654232,0.12636785,21.141304,0.17918386,21.269707,0.2462419,8118.4473,1214.3523,318.49759453901714,-1.3547666095129727
291,18.272446,0.010757717,17.998732,0.011768535,17.972776,0.012597755,7745.015,1231.5448,318.5546567140577,-1.3521491004115906
292,22.391047,0.23940007,22.47336,0.29730052,22.2713,0.39566332,6354.1973,1207.1613,318.76718421009576,-1.3558945897490258
293,20.417212,0.04636901,19.927948,0.062424388,19.86441,0.06822044,10327.902,1218.8324,318.1600008648473,-1.35400307504195
294,15.13362,0.0021993143,14.821164,0.0019334184,14.821164,0.0019334184,6684.732,1278.3145,318.71667583586094,-1.3450221663524213
295,20.571762,0.050855428,20.376179,0.065231666,20.291279,0.09043887,7454.755,1217.8612,318.59900991738857,-1.3542452096217255
296,21.149237,0.08135158,20.844072,0.112619184,20.831469,0.116999805,4615.1724,1215.6104,319.03292502820375,-1.3546036622973578
297,20.761635,0.059453353,20.43436,0.078602195,20.42,0.08066039,7025.9795,1219.7794,318.6645299065712,-1.3539593837702155
298,22.132914,0.19731684,21.120428,0.1579028,21.120707,0.1572075,2006.7148,1214.7416,319.43150958942147,-1.3546813521635688
299,19.121042,0.017817786,18.863897,0.022035204,18.840187,0.025114447,7904.3716,1232.7927,318.5303062850534,-1.3519549086989688
300,19.417795,0.021658864,19.205172,0.027521916,19.181623,0.031633627,6424.298,1225.9283,318.75647225144127,-1.353027174286053
301,18.700459,0.013901555,18.463219,0.016166044,18.42343,0.01721237,3319.2231,1236.1516,319.2309559567024,-1.3514467387545932
302,20.326979,0.042299196,19.94186,0.060028426,19.844803,0.06613126,3817.6624,1224.0157,319.15479139183486,-1.3533098139840345
303,21.274233,0.09324879,20.818085,0.12530671,20.679426,0.1631699,10543.436,1219.1581,318.1270709450184,-1.3539430861332309
304,22.135473,0.19132723,22.022247,0.26323876,21.736494,0.24641597,9460.689,1214.0955,318.29250174776723,-1.3547633170891915
305,14.106995,0.0014039663,13.774221,0.001178022,13.774221,0.001178022,3031.159,1298.414,319.27497272234433,-1.3419294147486813
306,18.671892,0.013793431,18.435114,0.015736923,18.397224,0.016672283,2626.9397,1232.2585,319.336739286782,-1.3520246079091296
307,22.557636,0.27947146,22.557564,0.28592402,22.673233,0.33534896,6135.756,1215.207,318.8005642480289,-1.354667108875177
308,22.297873,0.22117817,22.164959,0.27154282,22.131435,0.23773263,5796.829,1215.1364,318.8523557427496,-1.3546794185005506
309,18.793474,0.014650877,18.513554,0.016760139,18.47232,0.019884054,3676.7952,1235.1171,319.17631679783244,-1.3516116483920868
310,21.975845,0.16597281,21.4926,0.20420374,21.810503,0.42614868,4042.6594,1218.5604,319.1204101391771,-1.3541465507102517
311,19.708979,0.02737597,19.486544,0.035299256,19.412222,0.043479916,2209.5435,1230.3646,319.40051752678903,-1.352301528803057
312,21.961306,0.16442147,21.59517,0.19542238,21.593725,0.18266417,6772.982,1216.6266,318.70319004724945,-1.3544444030399967
313,17.483559,0.0069480394,17.214138,0.007131764,17.214138,0.007131764,6736.599,1248.8284,318.7087498823347,-1.3495257787345118
314,22.325726,0.22687563,21.943274,0.26916373,21.87089,0.23193328,5325.1436,1219.2318,318.9244341835769,-1.3540540780114882
315,17.033085,0.005671935,16.743332,0.0056650513,16.743332,0.0056650513,2575.9087,1260.3236,319.34453649287576,-1.3477361387470017
316,20.75525,0.059580192,19.91891,0.078179374,19.888243,0.10752612,8097.568,1232.038,318.5007852055061,-1.3520655675784914
317,21.531807,0.1130347,19.68316,0.08191162,19.260757,0.07596499,5117.359,1227.1774,318.9561858752841,-1.3528397665926786
318,22.036163,0.17727977,21.701405,0.19631061,21.771425,0.36590725,8018.861,1219.8801,318.51281173016616,-1.353924668030119
319,18.254692,0.010610037,18.018599,0.0116101215,17.997133,0.012272436,6857.382,1244.166,318.6902932048086,-1.3502364959993147
320,20.810009,0.061497357,20.622873,0.08230217,20.690153,0.11414019,5637.2236,1229.3671,318.8767451325747,-1.3525059044902157
321,21.298077,0.09253525,20.950104,0.11829604,20.951593,0.12714916,7388.4565,1226.8531,318.60914083358364,-1.35287285633276
322,14.841472,0.001961266,14.513069,0.0016708063,14.513069,0.0016708063,9589.471,1286.1154,318.272826424475,-1.3437573531135123
323,20.715807,0.05827639,19.770157,0.07372284,19.958797,0.072248265,9107.422,1233.0508,318.34647970013896,-1.3518807358297806
324,20.607994,0.052410737,20.1487,0.07604615,20.013397,0.07827449,7733.3774,1230.0001,318.5564349930361,-1.3523853027256458
325,21.215565,0.08744921,20.944876,0.11171992,20.717306,0.143969,9883.435,1225.5902,318.22791014525546,-1.3529905223094738
326,17.088472,0.0057274266,16.790667,0.0057011787,16.790667,0.0057011787,9573.244,1257.1658,318.27530513306215,-1.3481800088688667
327,20.012459,0.033409055,19.843882,0.04527834,19.773573,0.054151177,9914.865,1231.314,318.2231080384263,-1.3521149034434798
328,16.912113,0.005253149,16.62675,0.005179745,16.62675,0.005179745,3140.2986,1258.6776,319.2582962196491,-1.348001873305456
329,21.866125,0.15378527,20.893003,0.16995718,20.566214,0.1822491,10187.242,1226.2078,318.1814920053582,-1.3528829474191875
330,22.451977,0.25614226,20.416199,0.104604155,20.787287,0.12031913,8244.0,1219.0,318.4784098044569,-1.3540534058121338
331,20.943783,0.069808446,20.647303,0.0836004,20.582123,0.1235669,3543.6309,1232.891,319.1966652128926,-1.3519492769606856
332,18.703167,0.013722347,18.423475,0.01607097,18.396975,0.017110746,6936.954,1255.256,318.6781340170006,-1.348541347349327
333,20.98051,0.07040623,20.905155,0.102805406,20.876991,0.12184458,6729.031,1231.2832,318.7099062531781,-1.352206025464525
334,19.192503,0.018914094,18.92911,0.022339638,18.873861,0.02602067,3342.4934,1243.6366,319.22740005838915,-1.35030385140228
335,20.831139,0.062883005,20.62027,0.08448464,20.615986,0.08523718,8910.961,1232.2281,318.3764983426835,-1.3520130285266032
336,21.72488,0.13238016,21.720314,0.18674491,21.670242,0.1425012,6558.104,1226.9891,318.7360253869721,-1.3528638579329852
337,14.406819,0.0016485475,14.089211,0.001394604,14.089211,0.001394604,2202.19,1303.9542,319.40163992271926,-1.3410603088654565
338,19.686327,0.026085984,19.446913,0.031905208,19.412712,0.03792374,7251.3926,1242.9006,318.630085338806,-1.3504239111444054
