NUMBER,MAG_APER,MAGERR_APER,MAG_AUTO,MAGERR_AUTO,MAG_PETRO,MAGERR_PETRO,X_IMAGE,Y_IMAGE,ALPHA_J2000,DELTA_J2000
11061,15.572586,0.0024697785,15.69349,0.002674717,16.251694,0.0037204095,5702.23,5141.437,318.6643764964246,-0.5968798029699117
11062,21.87602,0.1653626,21.41634,0.20618072,21.257187,0.20577595,4634.362,5134.036,318.8275303649953,-0.5980149443054835
11063,20.713491,0.06042958,20.503859,0.086782694,20.419117,0.09613971,5006.585,5141.7344,318.77066014670913,-0.5968378336524149
11064,19.894447,0.031212045,19.571396,0.042970452,19.555468,0.05530545,9145.322,5147.4136,318.1383641394101,-0.5959192923717193
11065,19.104168,0.017514028,18.887825,0.02338189,18.791485,0.027932119,8216.231,5149.9487,318.2802955494709,-0.5955497448399414
11066,21.43752,0.11287795,21.143353,0.13308904,21.141691,0.21228461,4947.8643,5137.697,318.77963174672044,-0.5974549139864194
11067,20.864138,0.06854659,20.542803,0.086106345,20.525978,0.107934885,4952.7485,5142.3975,318.77888555204686,-0.5967366866456489
11068,22.065588,0.19609687,21.757717,0.23150723,22.070328,0.2355292,136.99872,5135.3037,319.5146399222078,-0.5977871143570244
11069,20.82804,0.06663079,20.4129,0.086274356,20.386808,0.114691645,5537.8755,5142.4497,318.6894872150667,-0.5967261063914884
11070,22.02181,0.18858124,21.896868,0.16764322,21.896744,0.2150865,8406.869,5135.8633,318.25117202046215,-0.5976981966705527
11071,20.877861,0.069597326,20.568565,0.091380596,20.401598,0.113083296,8225.36,5138.6006,318.2789006597457,-0.5972832184893833
11072,21.617289,0.13175003,21.628649,0.24014716,21.469423,0.2587692,7254.6167,5140.9385,318.4272030943239,-0.5969407882255012
11073,20.209337,0.039958544,20.047977,0.054421928,19.89512,0.06422041,8831.404,5143.736,318.1863183011985,-0.5964875225129734
11074,22.285145,0.23852053,22.143738,0.19102858,22.385044,0.42955825,7570.5674,5137.275,318.37893386759424,-0.5974961426012466
11075,21.173649,0.08962581,20.682066,0.12324023,20.998482,0.12758023,4150.0273,5139.3105,318.90152974822587,-0.5972095950815841
11076,18.58669,0.012400315,18.388163,0.015074907,18.348124,0.017771654,8583.281,5151.992,318.224222692468,-0.5952309988519128
11077,22.041435,0.19268376,21.753138,0.2002047,21.772034,0.2101838,5427.2114,5137.9854,318.70639487236724,-0.5974087528842887
11078,19.919243,0.031891212,19.73284,0.042791203,19.719397,0.04947533,775.1236,5149.0615,319.41715285406406,-0.5956954283924418
11079,21.433758,0.112162836,20.99013,0.16016021,21.016102,0.21590295,4680.662,5143.8657,318.8204563347438,-0.5965131305169026
11080,20.248951,0.041326895,20.0024,0.051989138,19.977297,0.082798086,622.6472,5152.671,319.44044700403725,-0.5951417786345485
11081,19.013786,0.016450744,18.805302,0.021951463,18.777418,0.024904007,1213.3505,5152.3535,319.35020279253575,-0.595198361069759
11082,22.13988,0.21024208,21.65257,0.25125584,21.521595,0.28166518,7608.995,5141.014,318.37306321002853,-0.5969242928175738
11083,22.00583,0.18621078,21.92106,0.25016534,21.982347,0.21758117,891.7159,5141.176,319.3993407483424,-0.5969017625748878
11084,21.963467,0.17916748,21.580652,0.22572622,21.66393,0.18871467,4890.027,5144.505,318.78846849562086,-0.5964149463860396
11085,21.469376,0.11579976,21.004303,0.15812102,21.015192,0.19673307,7661.627,5147.029,318.3650226029825,-0.5960046977799673
11086,21.065247,0.08158878,20.461794,0.11315365,20.55968,0.22703102,8303.351,5152.0938,318.2669865282807,-0.5952205482230749
11087,19.524515,0.023596585,19.340014,0.029731635,19.389812,0.04499376,732.6082,5154.066,319.4236479707254,-0.594930222661934
11088,18.818779,0.0144488225,18.571974,0.018001193,18.51198,0.021435985,4714.212,5161.2104,318.8153304578614,-0.5938631697859758
11089,19.233513,0.019182611,19.011677,0.023979707,18.969662,0.028932795,1342.3046,5156.853,319.3305015600921,-0.5945125415145265
11090,19.271544,0.019697798,19.044958,0.02463548,18.951504,0.03227572,6842.891,5157.7456,318.4901054640865,-0.5943781096521837
11091,20.42353,0.04763944,20.294485,0.065657005,20.264544,0.086048074,8718.823,5150.037,318.2035167107922,-0.5955271608840685
11092,20.983164,0.07611458,20.29289,0.105646506,20.104256,0.11476038,7838.681,5168.87,318.3379740641759,-0.5926652850240757
11093,20.91607,0.071941726,20.19581,0.09856628,20.263708,0.1343315,7590.235,5161.4976,318.3759295965911,-0.5937953137882103
11094,21.56677,0.12622124,20.763083,0.16979754,20.68972,0.17362197,7857.2695,5150.923,318.3351339493989,-0.5954068117143048
11095,20.738503,0.06183947,19.947903,0.086996496,19.914642,0.09400886,5037.965,5157.3057,318.7658658185846,-0.5944588149010545
11096,17.842274,0.00791079,17.571465,0.009111726,17.559418,0.009651379,4492.8433,5177.1807,318.8491524254218,-0.5914237346186004
11097,18.427065,0.011215755,12.671127,0.0013846083,99.0,99.0,7100.7183,6016.2163,318.4507278502383,-0.4632250093848694
11098,17.918903,0.008266966,17.662586,0.009438796,17.630249,0.010921641,8042.586,5170.0425,318.30682347772296,-0.5924829526782203
11099,17.767002,0.0075792307,17.50904,0.008715314,17.48942,0.009129381,4870.9395,5172.548,318.7913848745721,-0.5921306629819432
11100,22.13181,0.20839325,22.063927,0.17355767,22.13733,0.3158137,4658.9165,5148.3037,318.8237787715738,-0.5958351686984613
11101,19.87047,0.030710943,19.652807,0.04470187,19.630116,0.04578258,9118.706,5156.7173,318.14243019425754,-0.5944985868586615
11102,20.433426,0.047994524,20.304796,0.060526773,20.31504,0.100071386,7603.286,5156.5264,318.3739356514763,-0.5945546036152584
11103,19.475864,0.022861294,19.292236,0.028587876,19.33233,0.042550363,5548.989,5159.1924,318.68778938307776,-0.5941681579390444
11104,21.98932,0.18378289,21.516815,0.21169734,21.929209,0.21873692,6999.076,5153.4785,318.4662438397438,-0.5950281877251066
11105,21.761175,0.14959167,21.403227,0.21360603,21.544376,0.18456009,4367.3774,5153.5596,318.86832180764765,-0.5950326329293057
11106,20.433695,0.048100792,20.263012,0.06299732,20.220894,0.08400125,6896.1055,5156.86,318.48197545216294,-0.594512807796158
11107,18.346663,0.010667836,18.066349,0.012771254,18.022495,0.014845595,5474.3574,5172.3833,318.699191898537,-0.592153279555437
11108,16.83785,0.0046062316,16.564968,0.004893103,16.547178,0.0050959396,7096.865,5187.904,318.4513044083666,-0.5897677474504169
11109,22.133848,0.2084368,21.913961,0.2753997,22.25532,0.4786662,1149.9747,5153.1465,319.359885070435,-0.5950764077447339
11110,20.507736,0.05111519,20.278652,0.07030336,20.24269,0.08211709,9050.58,5157.976,318.152837145676,-0.5943076932330934
11111,19.930103,0.03221762,19.677505,0.04105451,19.647957,0.0582079,8175.998,5167.387,318.28644225640375,-0.5928863751262001
